userid,num_rows,num_attempts,mean_score_pct,median_score_pct,num_quizzes_taken,avg_time_spent_seconds,total_events,unique_courses,first_activity,last_activity,num_views,num_reports,active_days,events_per_day,engagement_score,consistency_score,performance_category,cluster,ml_cluster
29044,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-30 15:04:50,2024-12-07 15:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
29045,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-30 15:07:28,2024-12-07 15:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
29046,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-30 15:09:55,2024-12-07 15:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
29047,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-30 15:12:26,2024-12-07 15:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
31000,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-09-16 22:42:36,2024-11-03 08:34:29,0.0,0.0,47.0,0.04,49.0,0.04,Low,0,0
31513,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-12-17 09:29:29,2024-12-24 09:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
32168,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2025-01-14 20:47:20,2025-01-19 23:57:37,0.0,0.0,5.0,0.8,9.0,0.8,Low,0,0
32491,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,2024-10-04 18:07:14,2025-01-14 20:16:53,0.0,0.0,102.0,0.26,129.0,0.26,Low,0,0
34437,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-01 18:28:43,2025-01-08 19:35:13,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34461,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-01 19:33:53,2025-01-08 19:35:13,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34462,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-01 19:34:22,2025-01-08 19:35:13,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34552,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-02 03:42:25,2025-01-09 04:16:14,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34553,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-02 03:45:09,2025-01-09 04:16:14,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34554,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-02 03:48:19,2025-01-09 04:16:14,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34558,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-02 03:58:00,2025-01-09 04:16:14,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34559,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-02 03:58:13,2025-01-09 04:16:14,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34560,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-02 04:01:40,2025-01-09 04:16:14,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34561,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-02 04:04:33,2025-01-09 04:16:14,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34562,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-02 04:04:48,2025-01-09 04:16:14,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34563,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-02 04:04:49,2025-01-09 04:16:14,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34564,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-02 04:04:50,2025-01-09 04:16:14,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34853,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-03 21:55:20,2025-01-10 22:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34854,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-03 21:56:12,2025-01-10 22:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34855,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-03 21:58:37,2025-01-10 22:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34856,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-03 22:01:17,2025-01-10 22:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34865,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-07 18:47:34,2025-01-14 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34866,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-07 18:47:39,2025-01-14 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34869,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-07 18:48:01,2025-01-14 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
